sample_id,st,zp,alpha_z,beta_z,alpha_m,m_max,delta_m,m_min,lambda_peak,mu_m,sigma_m,beta_q
pop05000_sample00000,0,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00001,2048,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00002,4096,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00003,6144,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00004,8192,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00005,10240,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00006,12288,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00007,14336,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00008,16384,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00009,18432,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00010,20480,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00011,22528,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00012,24576,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00013,26624,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00014,28672,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00015,30720,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00016,32768,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00017,34816,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00018,36864,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00019,38912,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00020,40960,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00021,43008,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05000_sample00022,45056,1.79363552,3.00954672,2.150755254,3.249835122,18.31337553,6.09392631,4.639459247,0.023536711,34.22757671,3.520150748,-4.245384733
pop05001_sample00000,0,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
pop05001_sample00001,2048,1.873435659,2.889846511,2.220266994,3.373373386,15.46783566,0.389034678,8.533907353,0.020574978,33.93152866,3.596798752,3.368349798
